


hit index// stereo angles (*itH)->dxDy()//weight (*itH)->w()//(*itH)->z()-m_geoTool->rReference // track.delta(*iH) // track.distance(*itH)
 For a new Track : 
 5 0 51.0204 -664.4 0 -0.00375366
 6 -0.0874939 51.0204 140.8 -1.29229 0.113068
 7 0.0874939 82.6446 79.2002 1.16934 0.10231
 8 -0.0874901 51.0204 825.8 -4.47504 0.391521
 9 0.0874863 51.0204 764.2 4.28168 0.374588
 10 -0.0874939 82.6446 -541.2 16.4327 -1.43776
 For a new Track : 
 1 0 51.0204 887.4 0 -0.14415
 2 0 51.0204 702.6 0 -0.307472
 3 0 51.0204 202.4 0 0.00184631
 4 0 82.6446 17.5996 0 0.0576019
 5 0 51.0204 -664.4 0 0.888306
 6 -0.0874939 51.0204 140.8 -5.59592 0.489609
 7 0.0874939 82.6446 79.2002 -3.82403 -0.334579
 8 -0.0874901 51.0204 825.8 1.4964 -0.13092
 9 0.0874863 51.0204 764.2 4.66792 0.408379
 10 -0.0874939 82.6446 -541.2 -4.2166 0.368927
 For a new Track : 
 1 0 51.0204 887.4 0 0.147461
 2 0 51.0204 702.6 0 -0.202454
 3 0 51.0204 202.4 0 -0.0886841
 4 0 51.0204 17.5996 0 0.197998
 5 0 51.0204 -479.6 0 -0.0539246
 6 0.0874939 82.6446 -602.8 288.511 25.2429
 7 -0.0874634 51.0204 140.8 330.052 -28.8674
 8 -0.0874939 156.25 -541.2 307.791 -26.9298
 9 0.0874634 51.0204 79.2002 332.697 29.0988
 10 0.0874634 51.0204 764.2 360.887 31.5644
 For a new Track : 
 1 0 51.0204 887.4 0 0.147217
 2 0 51.0204 702.6 0 -0.202515
 3 0 51.0204 202.4 0 -0.088623
 4 0 51.0204 17.5996 0 0.197998
 5 0 51.0204 -479.6 0 -0.0542603
 6 0.0874939 82.6446 -602.8 288.506 25.2425
 7 -0.0874634 51.0204 140.8 330.052 -28.8674
 8 -0.0874939 156.25 -541.2 307.795 -26.9302
 9 0.0874634 51.0204 79.2002 332.697 29.0988
 10 0.0874634 51.0204 764.2 360.886 31.5643
 For a new Track : 
 1 0 51.0204 887.4 0 -12.4165
 2 0 51.0204 702.6 0 -8.75085
 3 0 51.0204 202.4 0 -0.222473
 4 0 51.0204 17.5996 0 2.2663
 5 0 51.0204 -479.6 0 5.51025
 6 0.0874939 82.6446 -602.8 56.7178 4.96246
 7 -0.0874634 51.0204 140.8 -10.4459 0.913635
 8 -0.0874939 156.25 -541.2 -59.7747 5.22992
 9 0.0874634 51.0204 79.2002 18.3664 1.60638
 10 0.0874634 51.0204 764.2 -112.948 -9.87878
 For a new Track : 
 1 0 51.0204 887.4 0 0.31543
 2 0 51.0204 702.6 0 -0.212402
 3 0 51.0204 202.4 0 -0.240112
 4 0 51.0204 17.5996 0 0.120056
 5 0 51.0204 -479.6 0 0.402466
 6 0.0874939 82.6446 -602.8 3.67283 0.32135
 7 -0.0874634 51.0204 140.8 41.3782 -3.61908
 8 -0.0874939 156.25 -541.2 9.18382 -0.803528
 9 0.0874634 51.0204 79.2002 41.0328 3.58887
 10 0.0874634 51.0204 764.2 73.1005 6.39362
 For a new Track : 
 1 0 51.0204 887.4 0 0.148438
 2 0 51.0204 702.6 0 -0.20166
 3 0 51.0204 202.4 0 -0.0888672
 4 0 51.0204 17.5996 0 0.197388
 5 0 51.0204 -479.6 0 -0.0558472
 6 0.0874939 82.6446 -602.8 -3.95082 -0.345673
 7 -0.0874634 51.0204 140.8 39.8444 -3.48492
 8 -0.0874939 156.25 -541.2 15.5717 -1.36243
 9 0.0874634 51.0204 79.2002 42.2847 3.69836
 10 0.0874634 51.0204 764.2 72.6322 6.35266
 For a new Track : 
 1 0 51.0204 887.4 0 -2.15344
 2 0 51.0204 702.6 0 -1.93237
 3 0 51.0204 202.4 0 -0.524536
 4 0 51.0204 17.5996 0 0.147339
 5 0 51.0204 -479.6 0 0.683105
 6 0.0874939 82.6446 -602.8 -0.523544 -0.0458069
 7 -0.0874634 51.0204 140.8 0.540823 -0.0473022
 8 -0.0874939 156.25 -541.2 -3.30694 0.289337
 9 0.0874634 51.0204 79.2002 0.55478 0.0485229
 10 0.0874634 51.0204 764.2 -22.307 -1.95105
 For a new Track : 
 1 0 51.0204 887.4 0 0.270386
 2 0 51.0204 702.6 0 -0.252075
 3 0 51.0204 202.4 0 -0.265747
 4 0 51.0204 17.5996 0 0.0992432
 5 0 51.0204 -479.6 0 0.394104
 6 0.0874939 82.6446 -602.8 -2.80014 -0.244995
 7 -0.0874634 51.0204 140.8 6.72575 -0.588257
 8 -0.0874939 156.25 -541.2 0.492152 -0.0430603
 9 0.0874634 51.0204 79.2002 8.21424 0.718445
 10 0.0874634 51.0204 764.2 13.7976 1.20679
 For a new Track : 
 1 0 51.0204 887.4 0 0.148682
 2 0 51.0204 702.6 0 -0.201538
 3 0 51.0204 202.4 0 -0.0889282
 4 0 51.0204 17.5996 0 0.197266
 5 0 51.0204 -479.6 0 -0.0559692
 6 0.0874939 82.6446 -602.8 -10.3627 -0.906677
 7 -0.0874634 51.0204 140.8 4.91835 -0.430176
 8 -0.0874939 156.25 -541.2 6.80258 -0.595184
 9 0.0874634 51.0204 79.2002 9.72226 0.850342
 10 0.0874634 51.0204 764.2 13.8046 1.2074
 For a new Track : 
 1 0 51.0204 887.4 0 -0.207886
 2 0 51.0204 702.6 0 -0.586426
 3 0 51.0204 202.4 0 -0.32605
 4 0 51.0204 17.5996 0 0.0974121
 5 0 51.0204 -479.6 0 0.435211
 6 0.0874939 82.6446 -602.8 -2.74817 -0.240448
 7 -0.0874634 51.0204 140.8 -0.695045 0.060791
 8 -0.0874939 156.25 -541.2 -0.779909 0.0682373
 9 0.0874634 51.0204 79.2002 0.772505 0.0675659
 10 0.0874634 51.0204 764.2 -4.78576 -0.418579
 For a new Track : 
 1 0 51.0204 887.4 0 0.147461
 2 0 51.0204 702.6 0 -0.202454
 3 0 51.0204 202.4 0 -0.0886841
 4 0 51.0204 17.5996 0 0.197998
 5 0 51.0204 -479.6 0 -0.0539246
 6 -0.0874634 51.0204 140.8 330.052 -28.8674
 7 -0.0874939 156.25 -541.2 307.791 -26.9298
 8 0.0874634 51.0204 79.2002 332.697 29.0988
 9 0.0874634 51.0204 764.2 360.887 31.5644
 10 -0.0874634 51.0204 825.8 366.64 -32.0676
 For a new Track : 
 1 0 51.0204 887.4 0 0.147217
 2 0 51.0204 702.6 0 -0.202515
 3 0 51.0204 202.4 0 -0.088623
 4 0 51.0204 17.5996 0 0.197998
 5 0 51.0204 -479.6 0 -0.0542603
 6 -0.0874634 51.0204 140.8 330.052 -28.8674
 7 -0.0874939 156.25 -541.2 307.795 -26.9302
 8 0.0874634 51.0204 79.2002 332.697 29.0988
 9 0.0874634 51.0204 764.2 360.886 31.5643
 10 -0.0874634 51.0204 825.8 366.641 -32.0677
 For a new Track : 
 1 0 51.0204 887.4 0 3.74139
 2 0 51.0204 702.6 0 -1.41846
 3 0 51.0204 202.4 0 -3.72479
 4 0 51.0204 17.5996 0 -0.415833
 5 0 51.0204 -479.6 0 17.953
 6 -0.0874634 51.0204 140.8 27.4676 -2.4024
 7 -0.0874939 156.25 -541.2 -243.424 21.2981
 8 0.0874634 51.0204 79.2002 -21.2868 -1.86182
 9 0.0874634 51.0204 764.2 1.39637 0.122131
 10 -0.0874634 51.0204 825.8 -17.2303 1.50702
 For a new Track : 
 1 0 51.0204 887.4 0 0.248169
 2 0 51.0204 702.6 0 -0.18103
 3 0 51.0204 202.4 0 -0.140076
 4 0 51.0204 17.5996 0 0.17157
 5 0 51.0204 -479.6 0 0.127014
 6 -0.0874634 51.0204 140.8 80.0663 -7.00287
 7 -0.0874939 156.25 -541.2 210.6 -18.4262
 8 0.0874634 51.0204 79.2002 95.8241 8.3811
 9 0.0874634 51.0204 764.2 -31.5373 -2.75836
 10 -0.0874634 51.0204 825.8 -41.1842 3.60211
 For a new Track : 
 1 0 51.0204 887.4 0 0.148193
 2 0 51.0204 702.6 0 -0.202087
 3 0 51.0204 202.4 0 -0.088501
 4 0 51.0204 17.5996 0 0.197815
 5 0 51.0204 -479.6 0 -0.0545044
 6 -0.0874634 51.0204 140.8 79.538 -6.95667
 7 -0.0874939 156.25 -541.2 213.13 -18.6476
 8 0.0874634 51.0204 79.2002 96.2561 8.41888
 9 0.0874634 51.0204 764.2 -32.044 -2.80267
